Datum;Liter;Literpreis
03.01.2019;49,89;1,17 €
05.01.2019;38,42;1,18 €
15.01.2019;55,59;1,18 €
23.01.2019;56,62;1,25 €
07.02.2019;55,59;1,17 €
16.02.2019;41,6;1,22 €
02.03.2019;57,03;1,20 €
13.03.2019;32,03;1,25 €
22.03.2019;54,88;1,20 €
12.04.2019;50,84;1,24 €
22.04.2019;58,23;1,32 €
06.05.2019;35,98;1,32 €
08.05.2019;38,45;1,18 €
25.05.2019;55;1,44 €
01.06.2019;57,3;1,25 €
01.07.2019;55,63;1,31 €
10.07.2019;54,2;1,26 €
21.07.2019;55,59;1,26 €
02.08.2019;56,16;1,28 €
11.08.2019;54,6;1,22 €
19.08.2019;56,67;1,28 €
30.08.2019;33,93;1,18 €
16.09.2019;26,77;1,19 €
02.10.2019;57,81;1,25 €
04.11.2019;40,66;1,21 €
10.11.2019;53,65;1,40 €
17.11.2019;56,78;1,19 €
24.11.2019;51,41;1,20 €
01.12.2019;50,5;1,79 €
10.12.2019;53,38;1,20 €
18.12.2019;50;1,27 €
03.01.2020;57,99;1,23 €
20.01.2020;57,1;1,22 €
06.02.2020;55,57;1,15 €
23.02.2020;54,68;1,16 €
10.03.2020;58,82;1,14 €
20.03.2020;26,97;1,08 €
17.04.2020;57,2;1,01 €
29.05.2020;57,98;1,09 €
20.06.2020;58,42;1,06 €
17.07.2020;58,58;1,04 €
30.07.2020;49,84;1,06 €
11.08.2020;58,61;1,20 €
20.08.2020;57,32;1,03 €
01.09.2020;56,27;1,05 €
11.09.2020;34,7;0,98 €
24.09.2020;57,65;0,99 €
28.09.2020;43,19;1,04 €
18.10.2020;53,29;1,08 €
15.11.2020;55,7;1,10 €
07.12.2020;57,01;1,09 €
19.01.2021;58,5;1,29 €
14.02.2021;58,47;1,23 €
05.03.2021;56,96;1,33 €
18.03.2021;55,99;1,29 €
20.03.2021;33,02;1,28 €
16.04.2021;54,12;1,34 €
24.04.2021;23,12;1,25 €
01.05.2021;41,42;1,26 €
11.05.2021;55,57;1,31 €
07.06.2021;56,86;1,30 €
06.07.2021;57,95;1,35 €
21.07.2021;58,99;1,30 €
01.08.2021;44,22;1,31 €
13.08.2021;57,64;1,38 €
29.08.2021;55,45;1,35 €
24.09.2021;34,12;1,47 €
08.10.2021;58,78;1,47 €
15.10.2021;15,91;1,71 €
17.10.2021;35,2;1,52 €
27.10.2021;53,33;1,52 €
13.11.2021;53,03;1,56 €
12.12.2021;54,3;1,48 €
20.12.2021;53,35;1,59 €
18.01.2022;58,04;1,56 €
23.02.2022;57,65;1,61 €
24.04.2022;42,74;1,99 €
13.05.2022;40,01;2,00 €
06.06.2022;58,65;1,98 €
10.07.2022;56,96;1,89 €
19.08.2022;31,2;1,80 €
21.08.2022;45,01;1,90 €
10.09.2022;20,11;1,99 €
22.09.2022;23,02;1,92 €
25.11.2022;22,36;1,79 €
05.12.2022;44,23;1,81 €
01.02.2023;55,75;1,84 €
17.02.2023;57,18;1,77 €
27.02.2023;54,31;1,67 €
04.03.2023;56,64;1,92 €
18.03.2023;30,17;1,73 €
29.03.2023;29,26;1,71 €
04.04.2023;31,27;1,70 €
07.04.2023;5,06;1,73 €
21.04.2023;8,94;1,68 €
31.05.2023;52,01;1,59 €
19.06.2023;25,01;1,71 €
19.07.2023;40,01;1,64 €
30.08.2023;56,67;1,82 €
12.08.2023;55,00;1,78 €
